No,Latitude,Longitude,Month,Total Precipitation (mm)
0,43.3651,140.49631,1,5240.913391113281
0,43.3651,140.49631,2,4099.710941314697
0,43.3651,140.49631,3,3430.8996200561523
0,43.3651,140.49631,4,3732.1174144744873
0,43.3651,140.49631,5,2964.919090270996
0,43.3651,140.49631,6,3097.325086593628
0,43.3651,140.49631,7,6979.785919189453
0,43.3651,140.49631,8,6488.803863525391
0,43.3651,140.49631,9,2907.3572158813477
0,43.3651,140.49631,10,3733.217477798462
0,43.3651,140.49631,11,5648.445606231689
0,43.3651,140.49631,12,5070.153713226318
0,43.3651,140.49631,Annual,53393.653869628906
1,43.32984432,140.3673052,1,5260.322570800781
1,43.32984432,140.3673052,2,4221.494674682617
1,43.32984432,140.3673052,3,3457.796812057495
1,43.32984432,140.3673052,4,3890.7790184020996
1,43.32984432,140.3673052,5,3003.3488273620605
1,43.32984432,140.3673052,6,3231.651544570923
1,43.32984432,140.3673052,7,7048.610687255859
1,43.32984432,140.3673052,8,6626.766204833984
1,43.32984432,140.3673052,9,2902.6546478271484
1,43.32984432,140.3673052,10,3854.870319366455
1,43.32984432,140.3673052,11,5884.159564971924
1,43.32984432,140.3673052,12,5173.7799644470215
1,43.32984432,140.3673052,Annual,54556.23245239258
2,43.32925,140.42131,1,5345.727920532227
2,43.32925,140.42131,2,4219.528675079346
2,43.32925,140.42131,3,3493.596076965332
2,43.32925,140.42131,4,3865.734577178955
2,43.32925,140.42131,5,2985.353469848633
2,43.32925,140.42131,6,3248.3272552490234
2,43.32925,140.42131,7,7075.89054107666
2,43.32925,140.42131,8,6696.358203887939
2,43.32925,140.42131,9,2919.032573699951
2,43.32925,140.42131,10,3836.8804454803467
2,43.32925,140.42131,11,5909.085273742676
2,43.32925,140.42131,12,5212.955474853516
2,43.32925,140.42131,Annual,54808.4716796875
3,43.27353,140.56876,1,5345.727920532227
3,43.27353,140.56876,2,4219.528675079346
3,43.27353,140.56876,3,3493.596076965332
3,43.27353,140.56876,4,3865.734577178955
3,43.27353,140.56876,5,2985.353469848633
3,43.27353,140.56876,6,3248.3272552490234
3,43.27353,140.56876,7,7075.89054107666
3,43.27353,140.56876,8,6696.358203887939
3,43.27353,140.56876,9,2919.032573699951
3,43.27353,140.56876,10,3836.8804454803467
3,43.27353,140.56876,11,5909.085273742676
3,43.27353,140.56876,12,5212.955474853516
3,43.27353,140.56876,Annual,54808.4716796875
4,43.19926,140.60124,1,5345.727920532227
4,43.19926,140.60124,2,4219.528675079346
4,43.19926,140.60124,3,3493.596076965332
4,43.19926,140.60124,4,3865.734577178955
4,43.19926,140.60124,5,2985.353469848633
4,43.19926,140.60124,6,3248.3272552490234
4,43.19926,140.60124,7,7075.89054107666
4,43.19926,140.60124,8,6696.358203887939
4,43.19926,140.60124,9,2919.032573699951
4,43.19926,140.60124,10,3836.8804454803467
4,43.19926,140.60124,11,5909.085273742676
4,43.19926,140.60124,12,5212.955474853516
4,43.19926,140.60124,Annual,54808.4716796875
5,43.18863,140.84127,1,4466.240406036377
5,43.18863,140.84127,2,3358.9730262756348
5,43.18863,140.84127,3,3568.136215209961
5,43.18863,140.84127,4,4034.3503952026367
5,43.18863,140.84127,5,2838.7269973754883
5,43.18863,140.84127,6,2900.636911392212
5,43.18863,140.84127,7,7627.840995788574
