"No","調査コース","二次メッシュ","lat1","lon1","lat2","lon2","標高(m)","海外線からの距離(km)","1990-2010年代の在不在の比較","1990の観測数","2010年の観測数","都道府県コード","2010 Total Precipitation (mm) within 20km□"
"0","011-002","654003","43.3651","140.49631","43.37329","140.48198","26","0.7072007582","0","2","10","1","39305.645"
"1","011-004","644072","43.32984432","140.3673052","43.32886097","140.3556537","6","0.1977386383","0","0","0","0","43222.24"
"2","011-005","644073","43.32925","140.42131","43.32314","140.41101","5","0.2884265248","0","5","3","1","42121.797"
"3","011-006","644074","43.27353","140.56876","43.29364","140.59539","70","3.955236633","1","0","3","1","39444.965"
"4","011-010","644064","43.19926","140.60124","43.18113","140.58386","77","8.192481443","1","0","2","1","39876.61"
"5","011-012","644066","43.18863","140.84127","43.17032","140.85766","13.4","1.138362656","0","1","1","1","37614.332"
"6","011-013","644067","43.21158","140.97662","43.22988","140.96562","55.1","2.150769465","-1","1","0","1","37695.05"
"7","011-014","644160","43.23656","140.99739","43.23089872","140.9967445","277","0.37783133","0","0","0","0","37638.12"
"8","011-017","644053","43.15383","140.44359","43.15658","140.47246","19","1.622478051","0","2","2","1","45688.984"
"9","011-019","644055","43.12016","140.72934","43.1213","140.70227","33","9.794121199","1","0","7","1","39309.957"
"10","011-021","644057","43.15631","140.97559","43.14492","140.94228","155","4.945467555","0","4","2","1","37885.992"
"11","011-022","644150","43.15743","141.04296","43.13621","141.03973","72.1","2.558085953","0","3","2","1","38000.49"
"12","011-023","644151","43.13244","141.20956","43.13951","141.19687","6.9","2.999281901","0","0","0","0","37218.523"
"13","011-026","644044","43.02957","140.53391","43.02596","140.53165","3","0.4086398288","-1","1","0","1","43466.15"
"14","011-028","644046","43.04874","140.82307","43.05267","140.8588","137","16.225086","1","0","1","1","38202.35"
"15","011-031","644033","42.92640631","140.4037891","42.9325965","140.4109989","9","0.2069894623","0","0","0","0","46690.91"
"16","011-038","644023","42.85231","140.40621","42.84104","140.42371","15","4.521079607","1","0","8","1","45961.387"
"17","011-039","644024","42.86926","140.59849","42.85072","140.60072","567","14.57386269","0","1","1","1","39741.4"
"18","011-040","644025","42.85862","140.70494","42.84612","140.71413","256","20.97910395","1","0","0","1","38119.83"
"19","011-041","644026","42.8463","140.7486","42.84634","140.75879","261","24.53347107","0","7","6","1","37718.395"
"20","011-042","644027","42.89613","140.90452","42.90559","140.91894","286.4","32.91856356","1","0","1","1","37365.09"
"21","011-044","644011","42.82108","140.18605","42.80725","140.20877","29","0.2974618502","0","3","3","1","44174.074"
"22","011-046","644013","42.83161","140.43673","42.82162","140.45988","12.9","7.853501394","1","0","2","1","44482.08"
"23","011-047","644014","42.80909","140.58603","42.80566","140.61858","32.6","19.6383361","1","0","11","1","38576.707"
"24","011-048","644015","42.82686","140.66742","42.81879","140.67797","219","21.56692196","1","0","2","1","38017.727"
"25","011-049","644016","42.77332","140.78236","42.7577","140.77588","212.1","21.7973731","1","0","2","1","35903.953"
"26","011-051","644110","42.80709","140.99768","42.80323","141.0088","319","34.21779675","1","0","13","1","37412.246"
"27","011-053","644000","42.68703","140.01549","42.67996","140.01628","8","0.2882911608","1","0","2","1","43780.195"
"28","011-055","644002","42.74149","140.29935","42.71331","140.29705","8","3.522300053","0","1","1","1","42029.133"
"29","011-060","644007","42.73884","140.88914","42.72533","140.88142","363","22.65088291","1","0","1","1","34607.125"
"30","011-061","644100","42.74368","141.04218","42.74123","141.02677","323","31.53351955","1","0","1","1","36504.58"
"31","011-062","633976","42.58774","139.82795","42.59675","139.82833","8","0.1443156744","0","0","0","0","44929.1"
"32","011-065","634071","42.59739","140.21344","42.5859","140.22553","315","16.72461694","0","0","0","0","38696.457"
"33","011-066","634072","42.66321","140.2829","42.65277","140.28877","60","11.87529752","0","1","6","1","38962.39"
"34","011-068","634074","42.61363","140.56581","42.59659","140.58696","74","3.662851568","0","1","2","1","34960.797"
"35","011-071","633967","42.53709","139.91873","42.51658","139.89969","255","6.006606449","0","0","0","0","43548.67"
"36","011-073","634061","42.53336","140.19301","42.5084331","140.191997","276","14.45844746","0","1","1","1","38334.125"
"37","011-074","634062","42.51503","140.34035","42.52153","140.35919","32","2.926685258","0","0","0","0","36792.465"
"38","011-078","633957","42.44591","139.95985","42.46513","139.94598","25.3","9.040151524","0","1","1","1","41558.19"
"39","011-080","634051","42.49655","140.15637","42.47854","140.16854","270","15.63092162","1","0","1","1","38497.996"
"40","011-081","634052","42.4991","140.32117","42.49314","140.35172","29","3.675772023","1","0","3","1","36863.848"
"41","011-084","633947","42.3992","139.89846","42.41185","139.89395","6.2","5.205357164","0","0","0","0","41744.97"
"42","011-085","634040","42.37586","140.06331","42.38918","140.03546","31.9","18.48288566","0","1","5","1","38976.246"
"43","011-087","634042","42.387214","140.285139","42.39871","140.29511","15.4","1.547775887","1","0","7","1","37391.855"
"44","011-089","633937","42.29009","139.91316","42.27201","139.9199","84","8.824038363","1","0","5","1","40440.562"
"45","011-091","634031","42.29378","140.15623","42.31388","140.15878","50","10.00867821","0","2","5","1","38224.426"
"46","011-092","634032","42.33379","140.25812","42.30763","140.25774","14.8","1.934165256","1","0","2","1","37660.11"
"47","011-094","633927","42.21501","139.87451","42.22127","139.89391","11","0.2259401934","1","0","1","1","40723.71"
"48","011-096","634021","42.20496","140.21296","42.2312","140.23637","169","8.105291508","0","1","2","1","39681.508"
"49","011-097","634022","42.21386","140.28551","42.2403","140.29864","56","3.301810518","0","0","0","0","38599.145"
"50","011-101","634010","42.099922","140.137858","42.08913","140.12267","291","6.773976749","0","12","12","1","44695.145"
